\Content\Images\Beach Party\IMG_8091.jpg, Sand castle cake
\Content\Images\Beach Party\IMG_8092.jpg, Sea glass torte
\Content\Images\Beach Party\IMG_8098.jpg, Wantagh Parkway, Long Island inspired signage
\Content\Images\Beach Party\IMG_8100.jpg, Snacks Ahoy
\Content\Images\Beach Party\IMG_8116.jpg, Props for the selfie station
\Content\Images\Beach Party\IMG_8128.jpg, Beach themed games
\Content\Images\Beach Party\IMG_8131.jpg, Shark lurking in the background of the selfie station
\Content\Images\Beach Party\IMG_8134.jpg, Shark attack 
\Content\Images\Beach Party\IMG_8160.jpg, Buoys and waves 
\Content\Images\Beach Party\IMG_8165.jpg, Beach inspired center pieces  
\Content\Images\Beach Party\IMG_8169.jpg, Floral arrangements 
\Content\Images\Beach Party\IMG_8172.jpg, Cute signage to tie in the theme
\Content\Images\Beach Party\IMG_8175.jpg, Sailor Sweets
\Content\Images\Beach Party\IMG_8179.jpg, Beach inspired food table 
\Content\Images\Beach Party\IMG_8195.jpg, Even the drinks are long island themed! 
\Content\Images\Beach Party\IMG_8196.jpg, Thirst Aid Station 
\Content\Images\Beach Party\IMG_8210.jpg, Floral arrangement 
\Content\Images\Beach Party\IMG_8212.jpg, Beach table scape 
\Content\Images\Beach Party\IMG_8218.jpg, Net feature 
\Content\Images\Beach Party\IMG_8242.jpg, Lawn games 
\Content\Images\Beach Party\IMG_8254.jpg, DIY Piñata 
\Content\Images\Beach Party\IMG_8272.jpg, Piñata full of chocolate coins and shooters
\Content\Images\Beach Party\IMG_8344.jpg, Beach inspired desserts
\Content\Images\Beach Party\IMG_8346.jpg, Sea glass torte with chocolate coins 
\Content\Images\Beach Party\IMG_8360.jpg, Selfie station fun!
